DATE,PRCP,TMAX,TMIN,TOBS
5/12/2013,0.3,21.1,11.7,13.9
5/13/2013,2.8,16.1,12.8,12.8
5/14/2013,8.6,13.9,8.3,9.4
5/15/2013,0,15.6,8.9,10
5/16/2013,4.3,13.3,10,12.2
5/17/2013,8.1,19.4,10.6,12.2
5/18/2013,2.8,15.6,10.6,10.6
5/19/2013,4.8,13.3,9.4,11.1
5/20/2013,0,15.6,10,11.1
5/21/2013,1.3,15,8.9,9.4
5/22/2013,2.3,11.7,7.8,8.9
5/23/2013,5.8,12.8,6.7,7.2
5/24/2013,18.5,10,6.7,8.9
5/25/2013,6.9,13.9,8.9,10
5/26/2013,12.2,12.2,10,11.1
5/27/2013,7.4,15.6,10.6,10.6
5/28/2013,10.7,14.4,10.6,11.1
5/29/2013,10.2,14.4,8.9,10
5/30/2013,1.5,14.4,9.4,11.1
5/31/2013,3,14.4,7.8,9.4
6/1/2013,0,16.7,9.4,12.2
6/2/2013,0,17.8,12.2,12.8
6/3/2013,0,17.2,11.7,12.2
6/4/2013,0,16.1,7.8,9.4
6/5/2013,0,18.3,8.9,13.3
6/6/2013,0,17.8,8.9,11.1
6/7/2013,0,16.7,11.1,13.3
6/8/2013,0.3,17.8,10,11.1
6/9/2013,0,17.8,10,13.3
6/10/2013,0,18.3,8.3,10.6
6/11/2013,0,16.7,10.6,12.8
6/12/2013,4.8,15.6,10,11.7
6/13/2013,5.6,15.6,10.6,11.7
6/14/2013,0.3,17.2,11.1,11.7
6/15/2013,0,18.3,8.3,8.9
6/16/2013,0,23.9,8.9,15
6/17/2013,0.5,18.3,12.8,13.3
6/18/2013,10.2,21.7,11.1,12.8
6/19/2013,0.3,18.3,8.3,12.2
6/20/2013,0,17.8,12.2,13.9
6/21/2013,0.3,17.2,11.7,12.8
6/22/2013,0,18.3,8.9,10.6
6/23/2013,0.3,22.8,10.6,15.6
6/24/2013,14,20,13.3,13.9
6/25/2013,13,18.9,13.3,14.4
6/26/2013,11.4,20,13.9,14.4
6/27/2013,9.7,18.3,14.4,15
6/28/2013,3.3,18.9,15,17.2
6/29/2013,0,25.6,15.6,17.2
6/30/2013,0,23.9,13.9,20
7/1/2013,0,28.3,15.6,16.1
7/2/2013,0,20.6,14.4,15.6
7/3/2013,0,22.8,12.8,15.6
7/4/2013,0,20.6,13.9,16.1
7/5/2013,0,19.4,13.9,15
7/6/2013,0,18.9,13.3,14.4
7/7/2013,0,18.9,13.9,13.9
7/8/2013,0,18.9,11.7,12.2
7/9/2013,0,18.9,11.7,12.2
7/10/2013,0,18.3,12.2,13.3
7/11/2013,0,18.9,11.7,13.9
7/12/2013,0,18.9,10.6,12.2
7/13/2013,0,19.4,9.4,12.8
7/14/2013,0,21.7,10,12.2
7/15/2013,0,20.6,10.6,11.7
7/16/2013,0,22.2,11.7,15
7/17/2013,0,26.1,15,15.6
7/18/2013,0,17.8,13.9,14.4
7/19/2013,0,20.6,12.8,12.8
7/20/2013,0,20,12.2,12.2
7/21/2013,0,17.8,12.2,13.3
7/22/2013,0,16.1,12.2,12.8
7/23/2013,0,16.7,11.1,11.7
7/24/2013,0,17.8,10.6,11.1
7/25/2013,0,17.2,11.1,12.2
7/26/2013,0,18.9,9.4,12.2
7/27/2013,0,21.1,12.2,12.8
7/28/2013,0,17.2,12.2,13.3
7/29/2013,0,16.1,13.3,14.4
7/30/2013,0,18.9,13.3,13.3
7/31/2013,0,16.7,12.8,13.3
8/1/2013,0.3,16.1,13.3,13.9
8/2/2013,1.3,17.8,13.9,14.4
8/3/2013,0,18.3,14.4,15.6
8/4/2013,0,21.7,12.2,12.8
8/5/2013,0,18.3,11.7,11.7
8/6/2013,0,15.6,11.1,11.7
8/7/2013,0,17.2,10.6,10.6
8/8/2013,0.3,16.7,10.6,13.9
8/9/2013,0,17.8,13.3,13.3
8/10/2013,2.3,17.2,13.3,13.3
8/11/2013,0,18.3,13.3,14.4
8/12/2013,0,19.4,13.3,13.9
8/13/2013,0,20,11.1,11.1
8/14/2013,0,22.8,11.1,13.3
8/15/2013,18.8,17.8,13.3,16.7
8/16/2013,0.3,21.1,14.4,16.7
8/17/2013,0.5,22.8,15,16.1
8/18/2013,0,20.6,13.9,15.6
8/19/2013,0,21.1,12.8,15
8/20/2013,0,21.7,10.6,12.2
8/21/2013,0,23.9,10,11.1
8/22/2013,0,24.4,11.1,12.8
8/23/2013,0.3,22.2,12.8,16.1
8/24/2013,0.5,20.6,15,15.6
8/25/2013,0,20,10.6,11.7
8/26/2013,0,21.1,10.6,11.7
8/27/2013,0.3,20.6,11.7,15.6
8/28/2013,0.5,23.3,15.6,16.7
8/29/2013,5.1,21.7,16.7,17.2
8/30/2013,10.2,20,15.6,16.1
8/31/2013,0.3,21.1,11.7,12.2
9/1/2013,0,28.3,12.2,15
9/2/2013,0,22.2,15,15.6
9/3/2013,0,22.8,11.7,12.8
9/4/2013,0,22.2,12.8,13.9
9/5/2013,2.5,21.1,13.9,16.1
9/6/2013,5.1,19.4,16.1,16.7
9/7/2013,0.3,18.9,14.4,15
9/8/2013,0,23.3,12.8,13.3
9/9/2013,0,23.3,12.8,15
9/10/2013,0,20.6,13.3,13.3
9/11/2013,0,28.9,13.3,17.8
9/12/2013,0,23.3,15,15
9/13/2013,0,18.9,15,16.1
9/14/2013,0,18.3,15.6,15.6
9/15/2013,0,21.7,14.4,15
9/16/2013,2.5,16.1,15,16.1
9/17/2013,0,18.9,11.7,11.7
9/18/2013,0.3,18.9,11.7,11.7
9/19/2013,0.3,19.4,10,10.6
9/20/2013,0.3,25.6,10.6,10.6
9/21/2013,29.2,18.9,10.6,12.8
9/22/2013,4.3,18.9,12.8,13.3
9/23/2013,44.5,18.9,12.8,13.9
9/24/2013,2.5,17.2,7.8,7.8
9/25/2013,4.1,14.4,6.7,6.7
9/26/2013,0,16.7,6.7,7.2
9/27/2013,4.1,18.3,7.2,12.2
9/28/2013,26.4,16.7,12.2,15.6
9/29/2013,45.2,16.7,11.1,13.3
9/30/2013,53.3,15,10.6,12.8
10/1/2013,15.2,15.6,8.3,8.9
10/2/2013,15.2,15.6,8.3,9.4
10/3/2013,0,13.3,5,5
10/4/2013,0,16.1,4.4,5.6
10/5/2013,0,19.4,5.6,5.6
10/6/2013,0,23.3,5.6,6.7
10/7/2013,10.9,21.7,6.7,11.1
10/8/2013,6.4,15,10.6,11.1
10/9/2013,0,15,3.3,3.3
10/10/2013,0,16.1,3.3,10
10/11/2013,0,14.4,8.3,8.9
10/12/2013,1.5,13.9,8.3,8.3
10/13/2013,0,15,4.4,5
10/14/2013,0,16.7,4.4,4.4
10/15/2013,0,17.2,4.4,4.4
10/16/2013,0,18.3,4.4,5.6
10/17/2013,0,15.6,5,8.3
10/18/2013,0,18.9,5.6,5.6
10/19/2013,0.3,20,4.4,4.4
10/20/2013,0,17.2,4.4,7.8
10/21/2013,0,14.4,7.8,8.9
10/22/2013,0,17.2,8.3,8.9
10/23/2013,0,21.1,5.6,5.6
10/24/2013,0,17.8,5.6,7.8
10/25/2013,0,11.7,7.8,10.6
10/26/2013,0,14.4,8.3,10
10/27/2013,0.3,14.4,10,10.6
10/28/2013,0,17.8,3.3,3.3
10/29/2013,0,17.2,0.6,0.6
10/30/2013,0,15,0.6,3.3
10/31/2013,11.9,13.3,3.3,10.6
11/1/2013,0.5,13.3,10,10
11/2/2013,9.1,16.7,10,10
11/3/2013,3.3,12.2,7.8,8.3
11/4/2013,0,11.7,2.2,3.3
11/5/2013,10.2,8.3,3.3,8.3
11/6/2013,0,12.2,6.1,7.2
11/7/2013,36.3,12.8,7.2,8.9
